ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
SPY,2023-06-14,2023-06-15,0.009939529849723197,0.7344668446013689,0.2555936255489079,0.022523376864216658,0.795078871786736,0.1823977513490474,neutral,neutral,True,0.24565409569918473,0.15987437448483074,0.019865544228103937
QQQ,2023-06-15,2023-06-16,0.018754592340016665,0.917525776825154,0.06371963083482934,0.4297289284298489,0.05445789586348754,0.5158131757066635,neutral,positive,False,0.044965038494812676,0.08608424727681463,2.3993369081114677
SPY,2023-06-15,2023-06-16,0.009692138640216173,0.41587646285148144,0.5744313985083024,0.017605403798929307,0.6502257122704439,0.33216888393062677,positive,neutral,False,0.5647392598680863,0.31456348013169744,0.12298406240912217
QQQ,2023-06-20,2023-06-21,0.019431922078045255,0.9396999829340731,0.04086809498788169,0.40254995226860046,0.37960708141326904,0.2178429663181305,neutral,negative,False,0.021436172909836432,-0.18470698595046997,0.7244806223316403
SPY,2023-06-20,2023-06-21,0.43837688679626247,0.09820443684471955,0.46341867635901796,0.9738284924809472,0.011082623383385698,0.015088884135667122,positive,negative,False,0.02504178956275549,-0.95873960834528,1.4514139794149254
QQQ,2023-06-21,2023-06-22,0.9703074024964611,0.021607250348723937,0.008085347154815039,0.19092675549154944,0.7663909000511192,0.042682344457331385,negative,neutral,False,-0.9622220553416461,-0.14824441103421807,1.4868902609965542
SPY,2023-06-21,2023-06-22,0.30137164523346893,0.5785198427185357,0.12010851204799533,0.055402583135606726,0.8682386085039688,0.07635880836042445,neutral,neutral,True,-0.1812631331854736,0.02095622522481773,0.3299665654966668
QQQ,2023-06-22,2023-06-23,0.05726520280616131,0.31775232794412606,0.6249824692497127,0.9534418342054574,0.03304936114882533,0.013508804645717317,positive,negative,False,0.5677172664435514,-0.93993302955974,2.9545289863024
SPY,2023-06-22,2023-06-23,0.018544382486095825,0.9373438864629208,0.04411173105098345,0.20232441116909336,0.15296555371736495,0.6447100351135417,neutral,positive,False,0.025567348564887623,0.44238562394444836,1.5366255364819663
SPY,2023-06-23,2023-06-24,0.017126521382739193,0.9067441973103169,0.07612928130694392,0.4351424276828766,0.1559908092021942,0.4088667631149292,neutral,negative,False,0.05900275992420473,-0.026275664567947388,1.412552102620988
QQQ,2023-06-26,2023-06-27,0.007486858677107364,0.23050683083922266,0.76200631048367,0.9593298160805119,0.022495859125490233,0.018174324793997866,positive,negative,False,0.7545194518065625,-0.9411554912865141,3.346856968053188
SPY,2023-06-26,2023-06-27,0.017255916612955745,0.9207234073932816,0.0620206759937626,0.9678668840620637,0.023230215210045476,0.008902900727890888,neutral,negative,False,0.04476475938080685,-0.9589639833341728,3.4388905430444976
QQQ,2023-06-27,2023-06-28,0.027350513519258365,0.8860185228848693,0.08663096359587241,0.1259385645389557,0.46135973930358887,0.41270169615745544,neutral,neutral,True,0.05928045007661405,0.28676313161849976,0.4011773972516654
SPY,2023-06-27,2023-06-28,0.016966477350597475,0.1253346239376877,0.8576988987117148,0.02324721546383173,0.8445982179679309,0.13215456656823743,positive,neutral,False,0.8407324213611174,0.10890735110440569,1.3596716971898009
QQQ,2023-06-28,2023-06-29,0.1614203296716192,0.03623822725492005,0.8023414430734608,0.029260892312001838,0.03532098220541707,0.9354181254825811,positive,positive,True,0.6409211134018415,0.9061572331705793,0.1534693966734165
SPY,2023-06-28,2023-06-29,0.47004597678712046,0.10289780642244509,0.4270562167904345,0.9632770495915587,0.026419937593392395,0.010303012815048881,negative,negative,True,-0.04298975999668597,-0.9529740367765098,1.3932007383834657
QQQ,2023-06-29,2023-06-30,0.08961823048482952,0.5988407374119319,0.3115410321032386,0.020308054075775114,0.8685444205159953,0.11114752540822959,neutral,neutral,True,0.22192280161840905,0.09083947133245447,0.23147599681079617
SPY,2023-06-29,2023-06-30,0.12540704011917114,0.1705005168914795,0.7040924429893494,0.07698847410819287,0.8655269210452357,0.05748460484657142,positive,neutral,False,0.5786854028701782,-0.019503869261621454,1.5482199815180555
