ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
AMD,2023-08-01,2023-08-02,0.9686308583685331,0.02125092185458088,0.010118219776886034,0.2822604007539332,0.21084039855779999,0.5068992006882668,negative,positive,False,-0.9585126385916471,0.22463879993433356,1.1060067367131876
NVDA,2023-08-01,2023-08-02,0.9726732828003362,0.010617175355173964,0.016709541844489847,0.019289440688139176,0.7286765303955774,0.25203402891628335,negative,neutral,False,-0.9559637409558464,0.23274458822814417,3.7231160758583646
AMD,2023-08-02,2023-08-03,0.013624965738506146,0.8502794250762634,0.13609560918523045,0.04247580500301573,0.9052310057374164,0.052293189259567774,neutral,neutral,True,0.1224706434467243,0.009817384256552042,0.06143342504765423
NVDA,2023-08-02,2023-08-03,0.02522637820254468,0.07689904980419641,0.8978745719932589,0.19440376800270617,0.42393785536752226,0.38165837662977153,positive,neutral,False,0.8726481937907142,0.18725460862706536,0.5853484074974733
AMD,2023-08-03,2023-08-04,0.0913171849497943,0.7435469086732485,0.1651359063769572,0.058091922682505084,0.5020972137423746,0.4398108635751204,neutral,neutral,True,0.07381872142716289,0.3817189408926153,0.1714855731914005
NVDA,2023-08-03,2023-08-04,0.0485106919293696,0.9158474598263027,0.03564184824432772,0.010039831708033072,0.8652190139234059,0.12474115436856098,neutral,neutral,True,-0.012868843685041875,0.1147013226605279,0.08384756767134768
AMD,2023-08-04,2023-08-05,0.017748228808904542,0.9407493857871878,0.041502385403907625,0.011451305629570502,0.7691545357510619,0.21939415861936765,neutral,neutral,True,0.023754156595003083,0.20794285298979714,0.12812323592124708
NVDA,2023-08-04,2023-08-05,0.9450608445429787,0.044120856355109705,0.010818299101911639,0.02519670908198753,0.0217567664060146,0.9530465245119979,negative,positive,False,-0.934242545441067,0.9278498154300103,3.408151826841856
AMD,2023-08-07,2023-08-08,0.020145841318105186,0.9238180094178395,0.05603614926405529,0.07860817308009316,0.8408530667741995,0.08053876014570743,neutral,neutral,True,0.035890307945950106,0.0019305870656142754,0.039174819746526576
NVDA,2023-08-07,2023-08-08,0.009494251651175567,0.7570654217280343,0.23344032662079012,0.011527874753941894,0.5658030035099658,0.4226691217360923,neutral,neutral,True,0.22394607496961455,0.4111412469821504,0.0800326727538803
AMD,2023-08-08,2023-08-09,0.9714347657884016,0.016808160572947446,0.01175707363865091,0.011135418424344073,0.5253557182062898,0.46350886336936614,negative,neutral,False,-0.9596776921497507,0.4523734449450221,4.239938320088668
NVDA,2023-08-08,2023-08-09,0.9710805028070245,0.019076686761122008,0.009842810431853533,0.008866861594719612,0.2679638604516366,0.7231692779536437,negative,positive,False,-0.961237692375171,0.7143024163589241,4.467578398033212
AMD,2023-08-09,2023-08-10,0.02227016405641055,0.8927171294261737,0.08501270651741585,0.9377132390002749,0.05053151577729508,0.01175524522243004,neutral,negative,False,0.0627425424610053,-0.9259579937778449,2.648494230397225
NVDA,2023-08-09,2023-08-10,0.09009705819551118,0.8677723134969292,0.04213062830755965,0.023468664729505866,0.9120480606534453,0.06448327461704874,neutral,neutral,True,-0.04796642988795154,0.04101460988754287,0.060085163929013335
AMD,2023-08-10,2023-08-11,0.7235675060255687,0.027411597615431927,0.24902089635899932,0.03998176090381922,0.022836568301920317,0.9371816707942605,negative,positive,False,-0.4745466096665694,0.8971999098904413,1.7702534234316787
